Dia;Q_entrada;NH_entrada;TSS_entrada;DQO_entrada;DBO_entrada;TN_entrada;TP_entrada;DQO_saida;Nitrato_saida;Amonia_saida
92;10911,0088551232;18,0003354213316;673,981753079559;973,973635883333;494,506630776563;50,4694586299707;13,0997705718092;149,0;0,5;12,0
93;10413,9756100555;16,0000905847519;729,996671010367;1054,99517636196;535,727549116306;51,209928438046;13,8199574251666;139,0;0,5;12,0
94;8840,84266333112;18,0005125689362;639,0;923,000512568936;468,714966683019;48,7905433230724;12,6600102513787;195,0;0,5;12,3
95;8910,12472474241;20,9999014033657;548,0;791,999901403366;401,635070496594;47,4298945016013;11,5199980280673;250,0;0,6;12,7
96;10244,2351098932;22,9966767989565;457,023262407304;660,033785877275;335,286740625256;44,9978399193217;10,3603046267623;306,0;0,6;13,0
97;10199,0067687428;19,0009518544562;408,012691392749;589,018402519486;299,139349325992;38,6715578684599;9,75015864240936;94,0;0,7;0,9
98;10216,8409180013;24,0014550182812;479,0;692,0;351,389968474604;47,071474418525;10,6400048500609;96,0;0,1;4,8
99;9907,01152193633;31,998531517918;550,005535047848;795,008020171371;403,589082380188;58,508798103896;11,5400700352993;98,0;0,3;9,1
100;9698,95211746978;27,0001516229583;669,995360337477;968,993237616062;491,916578173078;59,3099269177341;13,0599411702922;104,0;0,6;12,0
101;7912,6375612648;27,0001133442249;637,000113344225;920,000340032675;467,415073673746;57,7001190114361;12,6400011334422;95,0;0,5;11,2
102;11747,7320794806;27,9997259641712;604,999725964171;873,999725964171;443,56;57,1397259641712;12,23;85,0;0,3;10,4
103;7314,45956912743;27,9984373766662;571,949996053318;826,927181752644;419,668129902439;55,5760090600054;11,8193655749265;76,0;0,2;9,6
104;10743,174407318;23,0013305280935;379,051225331599;547,074509573235;277,912735994278;41,2538163980814;9,38064974121898;63,0;3,1;1,3
105;10452,9499299796;23,9999297755675;417,000070224432;602,999929775567;306,214958918707;44,1299262643459;9,86999929775567;72,0;1,8;4,4
106;9448,59792797563;24,0002127365208;455,995319796542;657,993617904375;333,966833416887;45,9600021273652;10,3499446885046;81,0;0,2;9,4
107;6556,08462092779;25,0003753013591;473,0;683,000375301359;346,840024394588;47,8003753013591;10,57;82,0;0,2;9,5
108;6550,93707189844;26,9997522515687;490,000247748431;708,999752251569;359,774983896352;50,6397522515687;10,79;83,0;0,3;9,6
109;6293,35474588677;28,0003501933729;507,999649806627;734,000350193373;372,645;52,4803642011078;11,0100035019337;84,0;0,3;9,8
110;7048,20854886042;29,9999222412899;525,00007775871;759,99984448258;385,514954511155;55,3599136878318;11,2399976672387;85,0;0,4;9,9
111;10484,8585608234;30,9980218296973;542,993924191213;783,991380829396;397,79571090289;57,1277448858549;11,4399279380818;86,0;0,4;10,0
112;12920,34904739;18,0020599766139;517,999878824905;747,000121175095;379,729921236188;42,9420599766139;11,13;81,0;11,0;0,6
113;9985,67658976756;21,9967903711216;492,036589769213;711,051354062054;361,036537211566;45,7484657973961;10,8204365095275;75,0;3,4;2,3
114;8103,74171517786;21,0;522,99375094147;754,99182815423;383,625625659029;46,1697548446269;11,1899375094147;102,0;0,7;3,4
115;7764,03256810827;20,0;541,0;781,999860222711;397,15;46,0799958066813;11,4299986022271;98,0;0,6;4,2
116;7658,15326040679;18,999616848983;559,000383151017;808,0;410,669775856655;45,9596015229424;11,6599961684898;93,0;0,6;5,0
